id,name,email,password_hash,role,phone,city,is_active,created_at,organization_name,bio
11,Viraj Tata,parekhrachita@example.net,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-9646884878,Bengaluru,1,2026-03-26 11:49:20.021024,,
12,Suhani Dugar,vaggarwal@example.org,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-8253389188,Lucknow,1,2026-04-11 11:49:20.021024,,
13,Benjamin Madan,kapurjai@example.com,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-7028873403,Kolkata,1,2026-02-12 11:49:20.021024,,
14,Jackson Chana,gaurang72@example.net,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,requester,+91-8943440014,Bengaluru,1,2026-01-20 11:49:20.021024,,
15,Banjeet Anand,mukherjeeanay@example.com,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-9117141163,Bengaluru,1,2026-01-15 11:49:20.021024,,
16,Ria Tandon,kkala@example.org,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,requester,+91-8909898452,Delhi,1,2026-02-20 11:49:20.021024,,
17,Ekta Nadig,wazir74@example.com,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,requester,+91-8922350848,Mumbai,1,2026-04-06 11:49:20.021024,,
18,Advika Palla,oscarmandal@example.net,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-8873430176,Kolkata,1,2026-04-03 11:49:20.021024,,
19,Chandresh Shenoy,rajujeet@example.com,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-9472715308,Ahmedabad,1,2026-03-01 11:49:20.021024,,
20,Kiaan Natt,jbhatnagar@example.net,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,requester,+91-7079064881,Chennai,1,2026-01-26 11:49:20.021024,,
21,Sneha Dhillon,gsampath@example.net,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-7268994477,Chennai,1,2026-01-30 11:49:20.021024,,
22,Azad Sant,veda03@example.org,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,requester,+91-8030566771,Mumbai,1,2026-01-24 11:49:20.021024,,
23,Sanat Karkhanis,sanat@avre.in,$2b$12$qGLVKmnlPhnyteI0RIwKCe4jbeNUlPPNYskRlUUzi3FKtnmA9RPuS,vendor,+91-9999999999,Mumbai,1,2026-04-14 14:21:06,,
24,Sanat Karkhanis,sanat.karkhanis2@gmail.com,$2b$12$JFGTl.BRwEXC.zOsT04mM.3Ee0ej3MAzHQLpnjqcI28a.65kpnMee,REQUESTER,,Mumbai,1,2026-04-14 15:33:02,,
